destination_id,destination_name,severity,issue_category,recommended_action,status
BV-ASI-0029,Buddhist Caves Kanheri,MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0030,"Buddhist Monuments, Sanchi",HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0030,"Buddhist Monuments, Sanchi",HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0030,"Buddhist Monuments, Sanchi",HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0030,"Buddhist Monuments, Sanchi",MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0030,"Buddhist Monuments, Sanchi",MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0031,"Buddhist Remains on hill top at Guntupalli, W.G.District",HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0031,"Buddhist Remains on hill top at Guntupalli, W.G.District",HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0031,"Buddhist Remains on hill top at Guntupalli, W.G.District",HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0031,"Buddhist Remains on hill top at Guntupalli, W.G.District",MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0031,"Buddhist Remains on hill top at Guntupalli, W.G.District",MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0031,"Buddhist Remains on hill top at Guntupalli, W.G.District",MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0032,Caves 1 t0 20 Udaygiri Vidisha,HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0032,Caves 1 t0 20 Udaygiri Vidisha,HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0032,Caves 1 t0 20 Udaygiri Vidisha,HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0032,Caves 1 t0 20 Udaygiri Vidisha,MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0032,Caves 1 t0 20 Udaygiri Vidisha,MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0032,Caves 1 t0 20 Udaygiri Vidisha,MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0033,"Caves, Temples and inscriptions Karla",HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0033,"Caves, Temples and inscriptions Karla",HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0033,"Caves, Temples and inscriptions Karla",HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0033,"Caves, Temples and inscriptions Karla",MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0033,"Caves, Temples and inscriptions Karla",MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0033,"Caves, Temples and inscriptions Karla",MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0034,"Cave, Temple and Inscriptions, Junaar, Lenyadri",HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0034,"Cave, Temple and Inscriptions, Junaar, Lenyadri",HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0034,"Cave, Temple and Inscriptions, Junaar, Lenyadri",HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0034,"Cave, Temple and Inscriptions, Junaar, Lenyadri",MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0034,"Cave, Temple and Inscriptions, Junaar, Lenyadri",MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0034,"Cave, Temple and Inscriptions, Junaar, Lenyadri",MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0035,"Cave Temple & Inscriptions, Bhaja",HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0035,"Cave Temple & Inscriptions, Bhaja",HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0035,"Cave Temple & Inscriptions, Bhaja",HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0035,"Cave Temple & Inscriptions, Bhaja",MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0035,"Cave Temple & Inscriptions, Bhaja",MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0035,"Cave Temple & Inscriptions, Bhaja",MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0036,"Champaner Monuments, Pavagadh",HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0036,"Champaner Monuments, Pavagadh",HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0036,"Champaner Monuments, Pavagadh",HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0036,"Champaner Monuments, Pavagadh",MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0036,"Champaner Monuments, Pavagadh",MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0036,"Champaner Monuments, Pavagadh",MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0037,Chandragiri Monument,HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0037,Chandragiri Monument,HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0037,Chandragiri Monument,HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0037,Chandragiri Monument,MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0037,Chandragiri Monument,MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0037,Chandragiri Monument,MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0038,Charminar,HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0038,Charminar,HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0038,Charminar,HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0038,Charminar,MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0038,Charminar,MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0039,Chittaurgarh Fort,HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0039,Chittaurgarh Fort,HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0039,Chittaurgarh Fort,HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0039,Chittaurgarh Fort,MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0039,Chittaurgarh Fort,MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0039,Chittaurgarh Fort,MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0040,Cooch Bihar Palace,HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0040,Cooch Bihar Palace,HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0040,Cooch Bihar Palace,HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0040,Cooch Bihar Palace,MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0040,Cooch Bihar Palace,MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0040,Cooch Bihar Palace,MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0041,Dariya Daulath Bagh,HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0041,Dariya Daulath Bagh,HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0041,Dariya Daulath Bagh,HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0041,Dariya Daulath Bagh,MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0041,Dariya Daulath Bagh,MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0041,Dariya Daulath Bagh,MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0042,Daulatabad Fort,HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0042,Daulatabad Fort,HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0042,Daulatabad Fort,HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0042,Daulatabad Fort,MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0042,Daulatabad Fort,MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0043,Deeg Bhawan,HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0043,Deeg Bhawan,HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0043,Deeg Bhawan,HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0043,Deeg Bhawan,MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0043,Deeg Bhawan,MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0044,Durga temple complex Aihole,HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0044,Durga temple complex Aihole,HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0044,Durga temple complex Aihole,HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0044,Durga temple complex Aihole,MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0044,Durga temple complex Aihole,MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0044,Durga temple complex Aihole,MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0045,Elephanta Caves,HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0045,Elephanta Caves,HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0045,Elephanta Caves,HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0045,Elephanta Caves,MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0045,Elephanta Caves,MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0046,Ellora Caves,HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0046,Ellora Caves,HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0046,Ellora Caves,HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0046,Ellora Caves,MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0046,Ellora Caves,MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0047,Excavated Remains at Nalanda,HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0047,Excavated Remains at Nalanda,HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0047,Excavated Remains at Nalanda,HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0047,Excavated Remains at Nalanda,MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0047,Excavated Remains at Nalanda,MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0047,Excavated Remains at Nalanda,MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0048,Excavated Remains at sarnath,HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0048,Excavated Remains at sarnath,HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0048,Excavated Remains at sarnath,HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0048,Excavated Remains at sarnath,MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0048,Excavated Remains at sarnath,MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0048,Excavated Remains at sarnath,MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0049,Fatehpur Sikri,HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0049,Fatehpur Sikri,HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0049,Fatehpur Sikri,HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0049,Fatehpur Sikri,MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0049,Fatehpur Sikri,MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0050,"Fort Museum, Thirumayam",HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0050,"Fort Museum, Thirumayam",HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0050,"Fort Museum, Thirumayam",HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0050,"Fort Museum, Thirumayam",MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0050,"Fort Museum, Thirumayam",MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0050,"Fort Museum, Thirumayam",MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0051,"Fort on Rock, Dindigual",HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0051,"Fort on Rock, Dindigual",HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0051,"Fort on Rock, Dindigual",HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0051,"Fort on Rock, Dindigual",MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0051,"Fort on Rock, Dindigual",MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0051,"Fort on Rock, Dindigual",MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0052,"Fort, Palakkad, Palakkad",HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0052,"Fort, Palakkad, Palakkad",HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0052,"Fort, Palakkad, Palakkad",HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0052,"Fort, Palakkad, Palakkad",MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0052,"Fort, Palakkad, Palakkad",MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0052,"Fort, Palakkad, Palakkad",MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0053,Fortress and Temple Chitrudurga Fort,HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0053,Fortress and Temple Chitrudurga Fort,HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0053,Fortress and Temple Chitrudurga Fort,HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0053,Fortress and Temple Chitrudurga Fort,MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0053,Fortress and Temple Chitrudurga Fort,MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0053,Fortress and Temple Chitrudurga Fort,MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0054,"Fort St. Angelo, Kannur",HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0054,"Fort St. Angelo, Kannur",HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0054,"Fort St. Angelo, Kannur",HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0054,"Fort St. Angelo, Kannur",MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0054,"Fort St. Angelo, Kannur",MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0055,Fort Vattakottai,HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0055,Fort Vattakottai,HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0055,Fort Vattakottai,HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0055,Fort Vattakottai,MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0055,Fort Vattakottai,MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0055,Fort Vattakottai,MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0056,Gawilgarh Fort,HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0056,Gawilgarh Fort,HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0056,Gawilgarh Fort,HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0056,Gawilgarh Fort,MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0056,Gawilgarh Fort,MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0057,"Gingee Fort , Gingee",HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0057,"Gingee Fort , Gingee",HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0057,"Gingee Fort , Gingee",HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0057,"Gingee Fort , Gingee",MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0057,"Gingee Fort , Gingee",MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0057,"Gingee Fort , Gingee",MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0058,Golconda,HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0058,Golconda,HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0058,Golconda,HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0058,Golconda,MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0058,Golconda,MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0058,Golconda,MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0059,"Gol Gumbaz, Vijayapura",HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0059,"Gol Gumbaz, Vijayapura",HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0059,"Gol Gumbaz, Vijayapura",HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0059,"Gol Gumbaz, Vijayapura",MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0059,"Gol Gumbaz, Vijayapura",MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
